Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no
What Is the What,https://www.goodreads.com//book/show/4952.What_Is_the_What,Dave Eggers,4.12,80943.0,7222.0,475.0,2006.0,0,"['Sudan  Ethiopia  Kakuma  Kenya', '    …more Marial Bai  South Sudan', '    …less']","['Independent Publisher Book Award (IPPY) for Literary Fiction (2007), Prix Médicis Etranger (2009), National Book Critics Circle Award Nominee for Fiction (2006)']","['Fiction', ' Cultural', ' Historical']",3.0
The Audacity of Hope: Thoughts on Reclaiming the American Dream,https://www.goodreads.com//book/show/9742.The_Audacity_of_Hope,Barack Obama,3.78,151243.0,5485.0,375.0,2006.0,0,,['Grammy Award for Best Spoken Word Album (2008)'],"['Nonfiction', ' Politics', ' Biography']",1.0
Peace Like a River,https://www.goodreads.com//book/show/227571.Peace_Like_a_River,Leif Enger,3.98,84422.0,7994.0,312.0,2002.0,0,"['United States of America  North Dakota  United States', ' ']","['Book Sense Book of the Year Award for Adult Fiction (2002), Independent Publisher Book Award (IPPY) for Fiction - General (2002), ALA Alex Award (2002), International Dublin Literary Award Nominee (2003)']","['Fiction', ' Historical', ' Book Club']",4.0
"Inkheart (Inkworld, #1)",https://www.goodreads.com//book/show/28194.Inkheart,Cornelia Funke,3.89,388754.0,12393.0,563.0,2005.0,1,['Italy'],"[""Locus Award Nominee for Best Young Adult Book (2004), Mythopoeic Fantasy Award Nominee for Children's Literature (2004), Zilveren Griffel (2006), Grand Prix de l'Imaginaire Nominee for Roman jeunesse (2004), Nene Award (2009)\n...more\nFlicker Tale Children's Book Award (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Phantastik-Preis der Stadt Wetzlar (2004), Literaturpreis der Jury der jungen Leser for Kinderbuch (2004)""]","['Fantasy', ' Young Adult', ' Fiction']",9.0
"City of Glass (The Mortal Instruments, #3)",https://www.goodreads.com//book/show/3777732-city-of-glass,Cassandra Clare,4.3,834405.0,29065.0,541.0,2009.0,1,"['Alicante', ' Idris', ' 2007       New York City', ' New York', ' 2007  United States', ' ']","[""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010), Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009), LovelyBooks Leserpreis for Fantasy (2009)""]","['Fantasy', ' Young Adult', ' Fantasy']",3.0
"Animal, Vegetable, Miracle: A Year of Food Life",https://www.goodreads.com//book/show/25460.Animal_Vegetable_Miracle,Barbara Kingsolver,4.03,103889.0,10848.0,370.0,2007.0,0,"['Virginia', ' 2006  United States', ' ']",['Book Sense Book of the Year Award for Adult Nonfiction (2008)'],"['Nonfiction', ' Food and Drink', ' Autobiography']",1.0
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com//book/show/1582996.City_of_Ashes,Cassandra Clare,4.15,789790.0,30428.0,453.0,2008.0,1,"['New York City', ' New York', ' 2007  United States', ' ']","['Gaylactic Spectrum Award Nominee for Best Novel (2009), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009)']","['Fantasy', ' Young Adult', ' Fantasy']",2.0
Under the Banner of Heaven: A Story of Violent Faith,https://www.goodreads.com//book/show/10847.Under_the_Banner_of_Heaven,Jon Krakauer,3.99,164988.0,10738.0,400.0,2004.0,0,"['Utah  United States', ' ']",['Colorado Book Award for General Nonfiction (2004)'],"['Nonfiction', ' Religion', ' History']",1.0
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://www.goodreads.com//book/show/2120932.The_Battle_of_the_Labyrinth,Rick Riordan,4.39,790960.0,20884.0,361.0,2008.0,1,['United States of America'],[],"['Fantasy', ' Young Adult', ' Fantasy']",
World War Z: An Oral History of the Zombie War,https://www.goodreads.com//book/show/8908.World_War_Z,Max Brooks,4.01,459330.0,26252.0,342.0,2006.0,1,,"['Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)']","['Horror', ' Fiction', ' Horror']",4.0
